"vocabulary",,,,,,,,,,,
"aspirine","aspirin","laspirine.mp3","aspirin.jpg","remedies & medicine","l'",,"NO","http://www.flickr.com/photos/semarr/","haspirine","asppirinne","assepirinne"
"brosse","brush","labrosse.mp3","brush.jpg","for shaving & doing your hair","la",,"NO","http://www.flickr.com/photos/klauspost/","broçe","brausse","breausse"
"sirop contre la toux","cough syrup","lesiropcontrelatoux.mp3","coughsyrup.jpg","remedies & medicine","le",,"NO","http://www.flickr.com/photos/editor/","syrop comtre la tou","sirreau conttre la toup","sirot conteureux la touq"
"bain de bouche","mouthwash","lebaindebouche.mp3","mouthwash.jpg","other","le",,"NO","http://www.flickr.com/photos/cote/","bin de bousche","baing de boucheux","bingt de bousche"
"rasoir","razor","lerasoir.mp3","razor.jpg","for shaving & doing your hair","le",,"NO","http://www.flickr.com/photos/joebeone/","razoir","rasoarre","rasoire"
"lingettes","sanitary wipes","leslingettes.mp3","sanitarywipes.jpg","wipes, tissues, & diapers","les ",,"NO","http://www.flickr.com/photos/basykes/","linjètes","lingètes","lainjettes"
"mousse à raser","shaving cream","lamoussearaser.mp3","shavingcream.jpg","for shaving & doing your hair","la",,"NO","http://www.flickr.com/photos/greggoconnell/","mouçe à razer","mousseu à rasay","moussé à razés"
"somnifères","sleeping pills","lessomniferes.mp3","sleepingpills.jpg","remedies & medicine","les",,"NO","http://www.flickr.com/photos/famouti/","sommenifères","sommenifaires","somniffaires"
"savonnette","soap bar","lasavonnette.mp3","soapbar.jpg","other","la",,"NO","http://www.flickr.com/photos/horiavarlan/","savonète","savvonète","savonète"
"thermomètre","thermometer","lethermometre.mp3","thermometer.jpg","other","le",,"NO","http://www.flickr.com/photos/tessawatson/","termmomètre","thermomaitre","thermaumètre"
"couches","diapers","lescouches.mp3","diapers.jpg","wipes, tissues, & diapers","les",,"NO","http://www.flickr.com/photos/donabelandewen/","coucheu","coucheus","couscheus"
"tétine","pacifier","latetine.mp3","pacifier.jpg","other","la",,"NO","http://www.flickr.com/photos/thesoftlanding/","téttine","taitine","taitinne"
"lames de rasoir","razor blades","leslamesderasoir.mp3","razorblades.jpg","for shaving & doing your hair","les",,"NO","http://www.flickr.com/photos/scottfeldstein/","laimes de razoir","lammes de rasoare","lemmes de razouar"
"mouchoir en papier","tissues","lemouchoirenpapier.mp3","tissues.jpg","wipes, tissues, & diapers","le",,"NO","http://www.flickr.com/photos/vieuxbandit/","mouchouard en pappier","mouchoare en papiè","mouschoire an pappiet"
"vitamines","vitamins","lesvitamines.mp3","vitamins.jpg","remedies & medicine","les",,"NO","http://www.flickr.com/photos/27620885@N02/","vitamminnes","vittammines","vytamynes"
"ordonnance","prescription","lordonnance.mp3","prescription.jpg","remedies & medicine","l'",,"NO","http://www.flickr.com/photos/carbonnyc/","ordonence","ordonnansse","hordonnance"
